eva_nr,name,state,city,Gemeinde,Teilort,Landkreis,zipcode,street,long,lat,Verkehrsmittel,Linien (EFA),Betriebszweige,Tarifzonen,category,parking,bicycle,taxis,stepless,car_rental
8000508,Altbach,Baden-Württemberg,Altbach,Altbach,Altbach,ES,73776,Bahnhofstrasse 1,9.382434033,48.72031354,R-Bahn;S-Bahn,S1;RE5;IRE6;MEX12;MEX16;MEX18,10;11,3,3,True,True,True,Partial,False
8000630,Asperg,Baden-Württemberg,Asperg,Asperg,Asperg,LB,71679,Alleenstr.1,9.147977466,48.90725609,Bus;R-Bahn;S-Bahn,S5;IRE1;RE8;MEX12;MEX17;MEX18;433;531;532;536A,10;11;31,2;3,4,True,True,True,Yes,False
8000016,Backnang,Baden-Württemberg,Backnang,Backnang,Backnang,WN,71522,Obere Bahnhofstr. 1,9.425986107,48.94264844,Bus;Nachtbus;R-Bahn;Ruftaxi;S-Bahn,S3;S4;MEX19;RE90;MEX90;359;360;361;362;363;365;366;367;368;369;370;381;382;383;384;390;393;455;457;N30;N36;RT390,10;11;31;34;50,4,3,True,True,True,Partial,False
8000873,Benningen (Neckar),Baden-Württemberg,Benningen am Neckar,Benningen am Neckar,Benningen am Neckar,LB,71726,Bahnhofstraße 16,9.244299075,48.94379773,R-Bahn;S-Bahn,S4;MEX19;MEX90,10;11,3,5,True,True,False,Yes,False
8000934,Beutelsbach,Baden-Württemberg,Weinstadt,Weinstadt,Beutelsbach,WN,71384,Oberlinstr.1,9.38551589,48.81038925,R-Bahn;S-Bahn,S2;IRE1;MEX13,10;11,3,5,True,True,False,Yes,False
8000038,Bietigheim-Bissingen,Baden-Württemberg,Bietigheim-Bissingen,Bietigheim-Bissingen,Bietigheim,LB,74321,Bahnhof  1,9.137217396,48.94794988,Bus;Nachtbus;R-Bahn;S-Bahn,S5;IRE1;RE8;MEX12;MEX17;MEX18;542;544;551;551A;554;554A;556;558;559;561;564;566;567;567A;N52;N56;N57;N58,10;11;31;34,3,2,True,True,True,Yes,True
8001055,Böblingen,Baden-Württemberg,Böblingen,Böblingen,Böblingen,BB,71034,Bahnhof 1/ Bahnhof 2,9.004531864,48.68784871,Bus;Nachtbus;R-Bahn;Ruftaxi;S-Bahn,S1;S11;S60;IRE4;RB14;RB46;631;701;701A;703;705;706;709;721;721A;723;724;725;728;731;732;732A;743;744;760;760A;761;763;763A;766;X16;X76;N73;N74;N75;RT763;RT766;RT46,10;11;12;31;34;50;51,3,3,True,True,True,Yes,False
8001296,Burgstall (Murr),Baden-Württemberg,Burgstetten,Burgstetten,Burgstall (Burgstetten),WN,71576,Bahnhofstr. 1,9.36973562,48.92851826,Bus;Nachtbus;R-Bahn;S-Bahn,S4;MEX19;MEX90;455;477;N30,10;11;31;34,4,6,True,True,False,Yes,False
8001476,Ditzingen,Baden-Württemberg,Ditzingen,Ditzingen,Ditzingen,LB,71254,Stuttgarter Str. 39,9.067095186,48.82358726,Bus;Nachtbus;S-Bahn,S6;S26;S60;S62;535;620;623;623A;624;625;626;638;N65,10;31;34,2;3,4,True,True,True,Yes,False
8001650,Echterdingen,Baden-Württemberg,Echterdingen,Leinfelden-Echterdingen,Echterdingen,ES,70771,Filderbahnstrasse,9.169307175,48.69214787,Bus;S-Bahn,S2;S3;S26;76;77;818;818A;828;X82,10;30;31,2,4,True,True,True,Yes,False
8001689,Ehningen (b Böblingen),Baden-Württemberg,Ehningen,Ehningen,Ehningen,BB,71139,Bahnhofstr.14,8.944310368,48.66275549,Bus;R-Bahn;S-Bahn,S1;S11;IRE4;RB14;752;764;768A,10;11;31,4,4,True,True,False,Yes,False
8001785,Endersbach,Baden-Württemberg,Weinstadt,Weinstadt,Endersbach,WN,71384,Bahnhofstr. 21,9.370192421,48.81317323,Bus;Nachtbus;R-Bahn;Ruftaxi;S-Bahn,S2;IRE1;MEX13;114;202;204;206;209;217A;219;222;N21;RT202;RT206,10;11;31;34;50,3,4,True,True,True,Yes,False
8001827,Erdmannhausen,Baden-Württemberg,Erdmannhausen,Erdmannhausen,Erdmannhausen,LB,71729,Bahnhofstraße 68,9.298930848,48.9483447,R-Bahn;S-Bahn,S4;MEX19;MEX90,10;11,3;4,6,True,True,False,Yes,False
8001920,Esslingen (Neckar),Baden-Württemberg,Esslingen am Neckar,Esslingen am Neckar,Esslingen am Neckar,ES,73728,Bahnhofsplatz 1,9.300578149,48.73854148,R-Bahn;S-Bahn,S1;RE5;IRE6;MEX12;MEX16;MEX18,10;11,2,3,True,True,True,Yes,False
8001921,Esslingen-Mettingen,Baden-Württemberg,Esslingen am Neckar,Esslingen am Neckar,Mettingen,ES,73733,Cannstatterstraße 61,9.275799007,48.74696655,Bus;R-Bahn;S-Bahn,S1;RE5;IRE6;MEX12;MEX16;MEX18;101;102,10;11;31,2,3,False,False,False,Partial,False
8006642,Esslingen-Zell,Baden-Württemberg,Esslingen am Neckar,Esslingen am Neckar,Zell (Esslingen),ES,73730,Hauptstr. 100,9.359739507,48.72436142,Bus;R-Bahn;S-Bahn,S1;RE5;IRE6;MEX12;MEX16;MEX18;102;103;114A;115;138;140,10;11;31,2;3,3,False,True,True,Partial,False
8001967,Favoritepark,Baden-Württemberg,Ludwigsburg,Ludwigsburg,Eglosheim,LB,71634,Reuteallee,9.180574277,48.90948451,R-Bahn;S-Bahn,S4;MEX19;MEX90,10;11,2;3,5,True,True,False,Yes,False
8001974,Fellbach,Baden-Württemberg,Fellbach,Fellbach,Fellbach,WN,70736,Eisenbahnstr. 14,9.270645988,48.8202936,Bus;Nachtbus;R-Bahn;S-Bahn;SEV-Bus,S2;S3;IRE1;MEX13;MEX19;RE90;MEX90;60;210;212;214;215;N6;S2E,10;11;30;31;33;36,1;2,3,True,True,True,Yes,False
8005768,Stuttgart Flughafen/Messe,Baden-Württemberg,Leinfelden-Echterdingen,Leinfelden-Echterdingen,Echterdingen,ES,70629,Flughafenstrasse,9.193411574,48.69075193,Bus;Nachtbus;S-Bahn;Stadtbahn,S2;S3;S26;U6;65;122;812;813;828;X82;N8;X10;X60;X3,10;20;30;31;33;35;81,2,4,True,False,True,Yes,False
8002065,Freiberg (Neckar),Baden-Württemberg,Freiberg am Neckar,Freiberg am Neckar,Freiberg am Neckar,LB,71691,Bahnhofstr. 12,9.197530085,48.92994974,Bus;R-Bahn;S-Bahn,S4;MEX19;MEX90;444;446;446A;459;564;N44,10;11;31;34,3,5,True,True,True,Yes,False
8002165,Gärtringen,Baden-Württemberg,Gärtringen,Gärtringen,Gärtringen,BB,71116,Bahnhofstrasse,8.908864487,48.64080021,Bus;Nachtbus;R-Bahn;Ruftaxi;S-Bahn,S1;S11;IRE4;RB14;753;759;768;768A;N77;RT753;RT759,10;11;31;34;50,4,5,True,True,False,Yes,False
8002240,Geradstetten,Baden-Württemberg,Remshalden,Remshalden,Geradstetten,WN,73630,Badstraße 12,9.439522346,48.80527689,R-Bahn;S-Bahn,S2;IRE1;MEX13,10;11,4;3,5,True,True,False,Yes,False
8005201,Goldberg,Baden-Württemberg,Böblingen,Böblingen,Böblingen,BB,71032,Leibnitzstraße 1,9.019733387,48.69651581,Bus;R-Bahn;Ruftaxi;S-Bahn,S1;S11;IRE4;RB14;706;708;722;734;RT708,10;11;31;50,3,5,True,True,False,Yes,False
8002448,Grunbach,Baden-Württemberg,Remshalden,Remshalden,Grunbach,WN,73630,Bahnhofstr.74,9.419580601,48.810414,Bus;R-Bahn;Ruftaxi;S-Bahn,S2;IRE1;MEX13;217;217A;333;RT217,10;11;31;50,3,4,True,True,True,Yes,False
