eva_nr,station_name,line,train_number,ID,planned_arrival,changed_arrival,arrival_delay_m,planned_departure,changed_departure,departure_delay_m,priority,planned_platform,changed_platform_arrival,path,info,arrival_status,departure_status,arrival_path,departure_path,message_status,train_route_id,train_line_number,status_train,arrival_weekday,departure_weekday
8000508,Altbach,S1,7167,3106830256264099267-2412082050-6,2024-12-08 21:10:00,2024-12-08 21:10:00,0,2024-12-08 21:10:00,2024-12-08 21:10:00,0,,3,nan,Kirchheim(Teck)|Kirchheim(Teck)-Ötlingen|Wendlingen(Neckar)|Wernau(Neckar)|Plochingen,,,,,,,3106830256264099267-2412082050,6,,Sunday,Sunday
8000508,Altbach,S1,7169,-1445914617040136913-2412082120-6,2024-12-08 21:40:00,2024-12-08 21:41:00,1,2024-12-08 21:40:00,2024-12-08 21:41:00,1,,3,nan,Kirchheim(Teck)|Kirchheim(Teck)-Ötlingen|Wendlingen(Neckar)|Wernau(Neckar)|Plochingen,,,,,,,-1445914617040136913-2412082120,6,,Sunday,Sunday
8000508,Altbach,S1,7166,-4958365870252331620-2412082046-24,2024-12-08 21:49:00,2024-12-08 21:50:00,1,2024-12-08 21:49:00,2024-12-08 21:50:00,1,,4,nan,Herrenberg|Nufringen|Gärtringen|Ehningen(b Böblingen)|Hulb|Böblingen|Goldberg(Württ)|Stuttgart-Rohr|Stuttgart-Vaihingen|Stuttgart-Österfeld|Stuttgart Universität|Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart-Bad Cannstatt|Stuttgart Neckarpark|Stuttgart-Untertürkheim|Stuttgart-Obertürkheim|Esslingen-Mettingen|Esslingen(Neckar)|Oberesslingen|Esslingen-Zell,,,,,,,-4958365870252331620-2412082046,24,,Sunday,Sunday
8000508,Altbach,S1,7164,-8642159561366852488-2412082016-24,2024-12-08 21:19:00,2024-12-08 21:18:00,-1,2024-12-08 21:19:00,2024-12-08 21:19:00,0,,4,nan,Herrenberg|Nufringen|Gärtringen|Ehningen(b Böblingen)|Hulb|Böblingen|Goldberg(Württ)|Stuttgart-Rohr|Stuttgart-Vaihingen|Stuttgart-Österfeld|Stuttgart Universität|Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart-Bad Cannstatt|Stuttgart Neckarpark|Stuttgart-Untertürkheim|Stuttgart-Obertürkheim|Esslingen-Mettingen|Esslingen(Neckar)|Oberesslingen|Esslingen-Zell,,,,,,,-8642159561366852488-2412082016,24,,Sunday,Sunday
8000630,Asperg,S5,7566,-61777120256128667-2412082122-10,2024-12-08 21:47:00,2024-12-08 21:47:00,0,2024-12-08 21:47:00,2024-12-08 21:48:00,1,,4,nan,Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart Nord|Stuttgart-Feuerbach|Stuttgart-Zuffenhausen|Kornwestheim Pbf|Ludwigsburg,,,,,,,-61777120256128667-2412082122,10,,Sunday,Sunday
8000630,Asperg,S5,7564,9123483855778599269-2412082052-10,2024-12-08 21:17:00,2024-12-08 21:19:00,2,2024-12-08 21:17:00,2024-12-08 21:20:00,3,,4,nan,Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart Nord|Stuttgart-Feuerbach|Stuttgart-Zuffenhausen|Kornwestheim Pbf|Ludwigsburg,,,,,,,9123483855778599269-2412082052,10,,Sunday,Sunday
8000630,Asperg,S5,7569,-3661735359450834382-2412082137-3,2024-12-08 21:42:00,2024-12-08 21:43:00,1,2024-12-08 21:43:00,2024-12-08 21:43:00,0,,3,nan,Bietigheim-Bissingen|Tamm(Württ),,,,,,,-3661735359450834382-2412082137,3,,Sunday,Sunday
8000630,Asperg,S5,7567,8207276654188600407-2412082107-3,2024-12-08 21:12:00,2024-12-08 21:13:00,1,2024-12-08 21:13:00,2024-12-08 21:13:00,0,,3,nan,Bietigheim-Bissingen|Tamm(Württ),,,,,,,8207276654188600407-2412082107,3,,Sunday,Sunday
8000016,Backnang,S3,7367,3859668929434965477-2412082111-1,,,0,2024-12-08 21:11:00,2024-12-08 21:11:00,0,1,nan,nan,,Bauarbeiten,,,,,h,3859668929434965477-2412082111,1,,,Sunday
8000016,Backnang,S3,7364,-6685159433105949701-2412082100-18,2024-12-08 21:48:00,2024-12-08 21:50:00,2,,,0,,5,nan,Stuttgart-Vaihingen|Stuttgart-Österfeld|Stuttgart Universität|Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart-Bad Cannstatt|Stuttgart Nürnberger Str.|Stuttgart-Sommerrain|Fellbach|Waiblingen|Neustadt-Hohenacker|Schwaikheim|Winnenden|Nellmersbach|Maubach,,,,,,,-6685159433105949701-2412082100,18,,Sunday,
