eva_nr,station_name,line,train_number,ID,planned_arrival,changed_arrival,arrival_delay_m,planned_departure,changed_departure,departure_delay_m,priority,planned_platform,changed_platform_arrival,path,info,arrival_status,departure_status,arrival_path,departure_path,message_status,train_route_id,train_line_number,status_train,arrival_weekday,departure_weekday
8000508,Altbach,S1,39901,328804799257861666-2412092150-6,2024-12-09 22:07:00,2024-12-09 22:12:00,5,2024-12-09 22:07:00,2024-12-09 22:13:00,6,,3,nan,Kirchheim(Teck)|Kirchheim(Teck)-Ötlingen|Wendlingen(Neckar)|Wernau(Neckar)|Plochingen,,,,,,,328804799257861666-2412092150,6,,Monday,Monday
8000508,Altbach,S1,7168,-8199876978329734252-2412092116-24,2024-12-09 22:19:00,2024-12-09 22:19:00,0,2024-12-09 22:19:00,2024-12-09 22:19:00,0,1,4,nan,Herrenberg|Nufringen|Gärtringen|Ehningen(b Böblingen)|Hulb|Böblingen|Goldberg(Württ)|Stuttgart-Rohr|Stuttgart-Vaihingen|Stuttgart-Österfeld|Stuttgart Universität|Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart-Bad Cannstatt|Stuttgart Neckarpark|Stuttgart-Untertürkheim|Stuttgart-Obertürkheim|Esslingen-Mettingen|Esslingen(Neckar)|Oberesslingen|Esslingen-Zell,Störung,,,,,h,-8199876978329734252-2412092116,24,,Monday,Monday
8000508,Altbach,S1,7170,-1681307597298006387-2412092146-24,2024-12-09 22:49:00,2024-12-09 22:49:00,0,2024-12-09 22:49:00,2024-12-09 22:51:00,2,,4,nan,Herrenberg|Nufringen|Gärtringen|Ehningen(b Böblingen)|Hulb|Böblingen|Goldberg(Württ)|Stuttgart-Rohr|Stuttgart-Vaihingen|Stuttgart-Österfeld|Stuttgart Universität|Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart-Bad Cannstatt|Stuttgart Neckarpark|Stuttgart-Untertürkheim|Stuttgart-Obertürkheim|Esslingen-Mettingen|Esslingen(Neckar)|Oberesslingen|Esslingen-Zell,,,,,,,-1681307597298006387-2412092146,24,,Monday,Monday
8000508,Altbach,S1,39903,-7186256616451460609-2412092220-6,2024-12-09 22:37:00,2024-12-09 22:37:00,0,2024-12-09 22:37:00,2024-12-09 22:37:00,0,,3,nan,Kirchheim(Teck)|Kirchheim(Teck)-Ötlingen|Wendlingen(Neckar)|Wernau(Neckar)|Plochingen,,,,,,,-7186256616451460609-2412092220,6,,Monday,Monday
8000630,Asperg,S5,39943,2370738772915260020-2412092207-3,2024-12-09 22:12:00,2024-12-09 22:13:00,1,2024-12-09 22:13:00,2024-12-09 22:14:00,1,,3,nan,Bietigheim-Bissingen|Tamm(Württ),,,,,,,2370738772915260020-2412092207,3,,Monday,Monday
8000630,Asperg,S5,39945,7542123062867668611-2412092237-3,2024-12-09 22:42:00,2024-12-09 22:43:00,1,2024-12-09 22:43:00,2024-12-09 22:43:00,0,,3,nan,Bietigheim-Bissingen|Tamm(Württ),,,,,,,7542123062867668611-2412092237,3,,Monday,Monday
8000630,Asperg,S5,39946,-6798551918577624976-2412092217-10,2024-12-09 22:47:00,2024-12-09 22:54:00,7,2024-12-09 22:47:00,2024-12-09 22:55:00,8,,4,nan,Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart Nord|Stuttgart-Feuerbach|Stuttgart-Zuffenhausen|Kornwestheim Pbf|Ludwigsburg,,,,,,,-6798551918577624976-2412092217,10,,Monday,Monday
8000630,Asperg,S5,7568,7857731125780769066-2412092152-10,2024-12-09 22:17:00,2024-12-09 22:17:00,0,2024-12-09 22:17:00,2024-12-09 22:17:00,0,,4,nan,Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart Nord|Stuttgart-Feuerbach|Stuttgart-Zuffenhausen|Kornwestheim Pbf|Ludwigsburg,,,,,,,7857731125780769066-2412092152,10,,Monday,Monday
8000016,Backnang,S3,39927,-2221934946050440245-2412092241-1,,,0,2024-12-09 22:41:00,2024-12-09 22:44:00,3,,nan,nan,,,,,,,,-2221934946050440245-2412092241,1,,,Monday
8000016,Backnang,S3,7368,3669314549837099490-2412092148-23,2024-12-09 22:48:00,2024-12-09 22:48:00,0,,,0,,5,nan,Stuttgart Flughafen/Messe|Echterdingen|Leinfelden|Oberaichen|Stuttgart-Rohr|Stuttgart-Vaihingen|Stuttgart-Österfeld|Stuttgart Universität|Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart-Bad Cannstatt|Stuttgart Nürnberger Str.|Stuttgart-Sommerrain|Fellbach|Waiblingen|Neustadt-Hohenacker|Schwaikheim|Winnenden|Nellmersbach|Maubach,,,,,,,3669314549837099490-2412092148,23,,Monday,
8000016,Backnang,S3,7366,-7392637175142738147-2412092118-23,2024-12-09 22:18:00,2024-12-09 22:19:00,1,,,0,1,5,nan,Stuttgart Flughafen/Messe|Echterdingen|Leinfelden|Oberaichen|Stuttgart-Rohr|Stuttgart-Vaihingen|Stuttgart-Österfeld|Stuttgart Universität|Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart-Bad Cannstatt|Stuttgart Nürnberger Str.|Stuttgart-Sommerrain|Fellbach|Waiblingen|Neustadt-Hohenacker|Schwaikheim|Winnenden|Nellmersbach|Maubach,Störung,,,,,h,-7392637175142738147-2412092118,23,,Monday,
8000016,Backnang,S3,39925,6755555301732700564-2412092211-1,,,0,2024-12-09 22:11:00,2024-12-09 22:12:00,1,,nan,nan,,,,,,,,6755555301732700564-2412092211,1,,,Monday
8000873,Benningen (Neckar),S4,7466,-7792000217206483448-2412092202-12,2024-12-09 22:32:00,2024-12-09 22:57:00,25,2024-12-09 22:33:00,2024-12-09 22:58:00,25,1,1,nan,Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart Nord|Stuttgart-Feuerbach|Stuttgart-Zuffenhausen|Kornwestheim Pbf|Ludwigsburg|Favoritepark|Freiberg(Neckar),Bauarbeiten,,,,,h,-7792000217206483448-2412092202,12,,Monday,Monday
8000873,Benningen (Neckar),S4,39937,257589633523751403-2412092255-2,2024-12-09 22:57:00,2024-12-09 22:57:00,0,2024-12-09 22:57:00,2024-12-09 22:57:00,0,1,2,nan,Marbach(Neckar),Bauarbeiten,,,,,h,257589633523751403-2412092255,2,,Monday,Monday
8000873,Benningen (Neckar),S4,39935,2189727646498082498-2412092225-2,2024-12-09 22:27:00,2024-12-09 22:27:00,0,2024-12-09 22:27:00,2024-12-09 22:27:00,0,1,2,nan,Marbach(Neckar),Bauarbeiten,,,,,h,2189727646498082498-2412092225,2,,Monday,Monday
8000873,Benningen (Neckar),S4,7464,-245897467744508035-2412092132-12,2024-12-09 22:02:00,2024-12-09 22:04:00,2,2024-12-09 22:03:00,2024-12-09 22:04:00,1,1,1,nan,Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart Nord|Stuttgart-Feuerbach|Stuttgart-Zuffenhausen|Kornwestheim Pbf|Ludwigsburg|Favoritepark|Freiberg(Neckar),Bauarbeiten,,,,,h,-245897467744508035-2412092132,12,,Monday,Monday
8000934,Beutelsbach,S2,39915,-6499790020390525735-2412092218-6,2024-12-09 22:30:00,2024-12-09 22:32:00,2,2024-12-09 22:30:00,2024-12-09 22:32:00,2,,2,nan,Schorndorf|Weiler(Rems)|Winterbach(b Schorndorf)|Geradstetten|Grunbach,,,,,,,-6499790020390525735-2412092218,6,,Monday,Monday
8000934,Beutelsbach,S2,39910,823936523782340305-2412092200-22,2024-12-09 22:57:00,2024-12-09 22:57:00,0,2024-12-09 22:58:00,2024-12-09 22:58:00,0,,1,nan,Filderstadt|Stuttgart Flughafen/Messe|Echterdingen|Leinfelden|Oberaichen|Stuttgart-Rohr|Stuttgart-Vaihingen|Stuttgart-Österfeld|Stuttgart Universität|Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart-Bad Cannstatt|Stuttgart Nürnberger Str.|Stuttgart-Sommerrain|Fellbach|Waiblingen|Rommelshausen|Stetten-Beinstein|Endersbach,,,,,,,823936523782340305-2412092200,22,,Monday,Monday
8000934,Beutelsbach,S2,7266,158796727225647364-2412092133-22,2024-12-09 22:28:00,2024-12-09 22:28:00,0,2024-12-09 22:28:00,2024-12-09 22:28:00,0,,1,nan,Filderstadt|Stuttgart Flughafen/Messe|Echterdingen|Leinfelden|Oberaichen|Stuttgart-Rohr|Stuttgart-Vaihingen|Stuttgart-Österfeld|Stuttgart Universität|Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart-Bad Cannstatt|Stuttgart Nürnberger Str.|Stuttgart-Sommerrain|Fellbach|Waiblingen|Rommelshausen|Stetten-Beinstein|Endersbach,,,,,,,158796727225647364-2412092133,22,,Monday,Monday
8000934,Beutelsbach,S2,39913,8851581804745371822-2412092148-6,2024-12-09 22:00:00,2024-12-09 22:00:00,0,2024-12-09 22:00:00,2024-12-09 22:01:00,1,,2,nan,Schorndorf|Weiler(Rems)|Winterbach(b Schorndorf)|Geradstetten|Grunbach,,,,,,,8851581804745371822-2412092148,6,,Monday,Monday
8000038,Bietigheim-Bissingen,S5,39943,2370738772915260020-2412092207-1,,,0,2024-12-09 22:07:00,2024-12-09 22:07:00,0,,nan,nan,,,,,,,,2370738772915260020-2412092207,1,,,Monday
8000038,Bietigheim-Bissingen,S5,39945,7542123062867668611-2412092237-1,,,0,2024-12-09 22:37:00,2024-12-09 22:37:00,0,,nan,nan,,,,,,,,7542123062867668611-2412092237,1,,,Monday
8000038,Bietigheim-Bissingen,S5,39946,-6798551918577624976-2412092217-12,2024-12-09 22:54:00,2024-12-09 23:02:00,8,,,0,,5,nan,Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart Nord|Stuttgart-Feuerbach|Stuttgart-Zuffenhausen|Kornwestheim Pbf|Ludwigsburg|Asperg|Tamm(Württ),,,,,,,-6798551918577624976-2412092217,12,,Monday,
8000038,Bietigheim-Bissingen,S5,7568,7857731125780769066-2412092152-12,2024-12-09 22:24:00,2024-12-09 22:25:00,1,,,0,,5,nan,Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart Nord|Stuttgart-Feuerbach|Stuttgart-Zuffenhausen|Kornwestheim Pbf|Ludwigsburg|Asperg|Tamm(Württ),,,,,,,7857731125780769066-2412092152,12,,Monday,
8001055,Böblingen,S1,39901,328804799257861666-2412092150-19,2024-12-09 22:59:00,2024-12-09 23:09:00,10,2024-12-09 22:59:00,2024-12-09 23:10:00,11,,4,nan,Kirchheim(Teck)|Kirchheim(Teck)-Ötlingen|Wendlingen(Neckar)|Wernau(Neckar)|Plochingen|Altbach|Esslingen-Zell|Oberesslingen|Esslingen(Neckar)|Esslingen-Mettingen|Stuttgart-Obertürkheim|Stuttgart-Untertürkheim|Stuttgart Neckarpark|Stuttgart-Bad Cannstatt|Stuttgart Hbf|Stuttgart-Vaihingen|Stuttgart-Rohr|Goldberg(Württ),,,,,,,328804799257861666-2412092150,19,,Monday,Monday
8001055,Böblingen,S60,7072,3179948115805207944-2412092239-7,2024-12-09 22:56:00,2024-12-09 22:55:00,-1,,,0,,5,nan,Renningen|Renningen Süd|Magstadt|Maichingen Nord|Maichingen|Sindelfingen,,,,,,,3179948115805207944-2412092239,7,,Monday,
8001055,Böblingen,S60,7070,638916155102202133-2412092209-7,2024-12-09 22:26:00,2024-12-09 22:26:00,0,,,0,,5,nan,Renningen|Renningen Süd|Magstadt|Maichingen Nord|Maichingen|Sindelfingen,,,,,,,638916155102202133-2412092209,7,,Monday,
8001055,Böblingen,S1,7170,-1681307597298006387-2412092146-6,2024-12-09 22:00:00,2024-12-09 22:00:00,0,2024-12-09 22:00:00,2024-12-09 22:00:00,0,,3,nan,Herrenberg|Nufringen|Gärtringen|Ehningen(b Böblingen)|Hulb,,,,,,,-1681307597298006387-2412092146,6,,Monday,Monday
